ID,Age,Salary,Purchase_Count,Gender,Subscribed,City
1077,32,77024.8,2,Female,Yes,Kathmandu
1078,25,54432.51,5,Male,No,Pokhara
1079,31,64796.94,4,Female,No,Lalitpur
1080,40,57674.98,5,Male,No,Pokhara
1081,57,55265.88,4,Female,No,Pokhara
1082,38,91240.05,5,Female,Yes,Lalitpur
1083,33,78925.39,6,Female,Yes,Kathmandu
1084,62,52677.26,1,Female,No,Lalitpur
1085,35,92490.0,3,Female,No,Pokhara
1086,64,77682.49,2,Female,Yes,Kathmandu
1087,41,90321.55,5,Male,No,Lalitpur
1088,43,85740.72,4,Female,No,Kathmandu
1089,42,49275.12,7,Male,No,Kathmandu
1090,62,55995.47,7,Female,No,Lalitpur
1091,58,88682.34,2,Male,Yes,Kathmandu
1092,46,85259.26,6,Female,Yes,Lalitpur
1093,32,69477.46,7,Female,No,Pokhara
1094,62,72933.18,2,Male,No,Kathmandu
1095,18,101941.62,7,Female,No,Pokhara
1096,42,55210.72,5,Female,No,Pokhara
1097,24,83677.43,7,Female,No,Kathmandu
1098,26,64945.18,6,Male,No,Lalitpur
1099,41,64557.97,5,Female,No,Kathmandu
1100,18,97469.42,6,Male,No,Pokhara
1101,61,90635.41,5,Female,No,Pokhara
1102,25,90337.74,4,Female,Yes,Lalitpur
1103,41,102636.97,7,Male,No,Kathmandu
1104,28,70525.1,1,Female,Yes,Pokhara
1105,34,87048.82,8,Female,No,Pokhara
1106,25,62243.33,4,Male,No,Pokhara
1107,52,78104.16,5,Female,No,Lalitpur
1108,52,66746.42,3,Male,Yes,Pokhara
1109,50,72424.9,7,Male,Yes,Pokhara
1110,22,84878.93,2,Male,Yes,Kathmandu
1111,59,49544.48,5,Female,No,Kathmandu
1112,56,122309.68,10,Male,Yes,Pokhara
1113,58,44849.57,7,Male,No,Pokhara
1114,45,39645.28,7,Female,No,Kathmandu
1115,24,98952.77,10,Male,No,Lalitpur
1116,26,89791.57,1,Female,No,Lalitpur
1117,25,85603.0,5,Female,Yes,Lalitpur
1118,29,85708.64,3,Female,No,Lalitpur
1119,51,69693.83,8,Female,No,Lalitpur
1120,50,47568.64,7,Male,Yes,Lalitpur
1121,65,71895.11,3,Male,No,Lalitpur
1122,40,53070.96,1,Male,Yes,Lalitpur
1123,41,94377.99,5,Male,No,Kathmandu
1124,54,66323.57,3,Male,No,Lalitpur
1125,52,49362.57,6,Female,Yes,Lalitpur
1126,61,61965.35,3,Male,No,Lalitpur
1127,57,80323.29,4,Male,No,Pokhara
1128,39,55906.89,5,Male,No,Kathmandu
1129,44,49444.49,8,Female,No,Kathmandu
1130,52,76092.18,7,Female,No,Kathmandu
1131,18,76124.16,5,Male,Yes,Lalitpur
1132,52,57326.42,4,Female,Yes,Lalitpur
1133,54,58224.04,6,Male,Yes,Pokhara
1134,64,75801.25,8,Male,No,Kathmandu
1135,31,33797.89,4,Female,No,Lalitpur
1136,20,34813.41,3,Female,No,Kathmandu
1137,18,52038.89,2,Male,No,Pokhara
1138,22,64663.82,3,Male,Yes,Pokhara
1139,43,77772.69,9,Female,Yes,Pokhara
1140,31,106883.91,5,Male,Yes,Kathmandu
1141,56,91441.49,4,Female,Yes,Lalitpur
1142,44,66001.54,7,Male,Yes,Lalitpur
1143,26,69524.59,8,Female,No,Pokhara
1144,32,44936.77,4,Male,Yes,Lalitpur
1145,32,69537.17,4,Male,Yes,Pokhara
1146,43,62783.53,8,Female,Yes,Kathmandu
1147,59,78067.96,5,Male,Yes,Pokhara
1148,30,49319.23,5,Male,No,Kathmandu
1149,49,82983.66,6,Female,No,Pokhara
1150,56,108318.47,7,Male,No,Lalitpur
1151,49,67281.0,2,Male,No,Lalitpur
1152,21,80042.79,1,Male,Yes,Pokhara
1153,47,87253.6,7,Female,No,Lalitpur
1154,54,59969.49,5,Female,Yes,Lalitpur
1155,40,75602.31,4,Female,Yes,Lalitpur
1156,56,70314.81,4,Male,Yes,Kathmandu
1157,62,72441.9,3,Male,Yes,Lalitpur
1158,32,50674.76,8,Male,Yes,Kathmandu
1159,60,70612.75,7,Male,Yes,Pokhara
1160,46,82449.96,1,Female,No,Lalitpur
1161,53,106278.59,2,Male,Yes,Lalitpur
1162,30,93981.77,4,Male,Yes,Lalitpur
1163,49,123829.56,6,Male,No,Pokhara
1164,24,50816.31,4,Female,Yes,Kathmandu
1165,39,91808.02,6,Male,Yes,Kathmandu
1166,45,74583.55,8,Male,No,Lalitpur
1167,19,124745.07,7,Male,Yes,Pokhara
1168,59,49792.54,5,Male,Yes,Pokhara
1169,62,49006.95,2,Male,No,Pokhara
1170,23,55015.18,1,Female,Yes,Pokhara
1171,45,16902.61,7,Male,No,Pokhara
1172,45,56856.12,4,Male,No,Kathmandu
1173,61,51021.68,1,Male,Yes,Kathmandu
1174,61,73759.84,6,Male,No,Kathmandu
1175,37,78543.9,5,Male,No,Lalitpur
1176,47,116904.27,8,Male,Yes,Pokhara
1177,28,93760.6,5,Male,No,Lalitpur
1178,45,55577.41,4,Male,Yes,Pokhara
1179,42,47539.63,10,Male,No,Kathmandu
1180,56,82297.98,7,Male,Yes,Lalitpur
1181,50,36994.17,4,Female,No,Kathmandu
1182,18,115786.47,8,Female,Yes,Pokhara
1183,44,99486.0,5,Female,No,Pokhara
1184,30,58270.61,5,Female,Yes,Pokhara
1185,58,27171.64,5,Male,No,Kathmandu
1186,20,103846.81,2,Female,No,Pokhara
1187,56,67136.5,3,Female,No,Kathmandu
1188,23,100945.41,4,Male,No,Lalitpur
1189,25,30139.31,9,Female,No,Pokhara
1190,44,55015.62,0,Female,No,Pokhara
1191,26,70131.09,5,Male,No,Pokhara
1192,54,71174.51,5,Male,Yes,Lalitpur
1193,50,58748.36,5,Male,No,Pokhara
1194,59,85571.25,5,Female,No,Kathmandu
1195,61,43309.49,4,Female,No,Kathmandu
1196,41,66440.51,9,Male,No,Pokhara
1197,32,73007.39,6,Male,Yes,Pokhara
1198,49,82860.97,2,Female,Yes,Lalitpur
1199,49,87790.37,6,Male,No,Lalitpur
1200,41,41883.95,6,Female,No,Lalitpur
1201,58,31647.15,6,Male,No,Pokhara
1202,29,101941.92,5,Male,No,Lalitpur
1203,56,78307.85,2,Female,No,Lalitpur
1204,19,51287.84,5,Male,Yes,Kathmandu
1205,20,108778.8,3,Male,No,Lalitpur
1206,54,72891.87,3,Male,No,Kathmandu
1207,34,99482.43,3,Female,Yes,Kathmandu
1208,19,71687.96,6,Male,No,Lalitpur
1209,19,121518.7,6,Male,No,Kathmandu
1210,45,113883.52,4,Male,Yes,Pokhara
1211,40,63775.9,5,Male,Yes,Pokhara
1212,54,94289.27,5,Male,No,Lalitpur
1213,49,86134.4,7,Male,Yes,Pokhara
1214,50,104215.79,5,Female,No,Kathmandu
1215,18,45876.91,3,Female,No,Pokhara
1216,36,87151.29,4,Male,No,Lalitpur
1217,19,96460.61,7,Female,No,Lalitpur
1218,61,26031.51,5,Female,Yes,Kathmandu
1219,43,40418.54,7,Male,No,Lalitpur
1220,49,19019.2,8,Female,Yes,Pokhara
1221,23,63264.83,7,Female,No,Lalitpur
1222,49,87938.56,5,Female,Yes,Kathmandu
1223,21,107558.93,8,Female,No,Lalitpur
1224,28,71852.37,4,Female,Yes,Pokhara
1225,34,110715.39,6,Female,Yes,Kathmandu
1226,55,35497.46,8,Female,Yes,Pokhara
1227,41,27415.44,6,Female,Yes,Kathmandu
1228,22,68611.31,3,Male,No,Lalitpur
1229,51,79601.64,8,Male,Yes,Kathmandu
1230,23,69182.63,4,Female,No,Kathmandu
1231,39,18313.95,7,Female,No,Lalitpur
1232,28,67772.0,2,Male,No,Pokhara
1233,65,37388.26,10,Female,Yes,Lalitpur
1234,33,86741.81,6,Female,Yes,Kathmandu
1235,50,79164.96,4,Male,No,Lalitpur
1236,26,46503.01,5,Male,Yes,Kathmandu
1237,23,57153.33,6,Male,Yes,Lalitpur
1238,33,43519.66,4,Female,No,Lalitpur
1239,46,68433.02,5,Female,No,Pokhara
1240,20,93878.56,6,Male,No,Kathmandu
1241,37,45356.85,3,Male,Yes,Pokhara
1242,53,82601.16,7,Female,No,Kathmandu
1243,36,56743.56,7,Male,Yes,Lalitpur
1244,43,50178.18,8,Female,Yes,Kathmandu
1245,20,67324.24,4,Female,No,Pokhara
1246,36,44118.94,7,Male,Yes,Pokhara
1247,37,56158.77,3,Male,Yes,Pokhara
1248,49,40053.05,4,Female,Yes,Kathmandu
1249,24,119118.13,4,Male,No,Pokhara
1250,58,70881.59,0,Male,No,Pokhara
1251,50,52506.86,1,Male,No,Pokhara
1252,57,75349.5,1,Male,No,Lalitpur
1253,56,67191.8,7,Female,Yes,Lalitpur
1254,35,64475.76,5,Female,No,Kathmandu
1255,57,85354.17,5,Female,Yes,Kathmandu
1256,18,88937.69,8,Female,Yes,Pokhara
1257,28,56737.47,3,Male,No,Lalitpur
1258,45,55604.54,5,Male,No,Pokhara
1259,42,63123.71,3,Female,Yes,Pokhara
1260,40,12451.97,5,Female,Yes,Lalitpur
1261,48,32120.22,1,Male,Yes,Lalitpur
1262,47,104171.86,7,Female,Yes,Lalitpur
1263,59,111124.19,2,Female,No,Kathmandu
1264,52,63774.1,4,Male,No,Kathmandu
1265,24,84413.92,6,Female,No,Pokhara
1266,33,77781.25,7,Male,No,Kathmandu
1267,43,146972.02,9,Male,Yes,Lalitpur
1268,65,97989.37,4,Female,No,Lalitpur
1269,19,66802.06,1,Male,No,Kathmandu
1270,18,46111.49,4,Female,No,Pokhara
1271,65,29838.84,6,Male,No,Pokhara
1272,29,75086.59,3,Female,No,Kathmandu
1273,22,51091.23,4,Female,Yes,Pokhara
1274,54,34443.66,2,Female,No,Pokhara
1275,49,53835.68,6,Male,Yes,Pokhara
1276,26,42961.3,8,Male,Yes,Lalitpur
1277,58,112178.54,7,Female,Yes,Lalitpur
1278,52,92040.99,2,Male,Yes,Kathmandu
1279,36,69800.68,6,Female,No,Lalitpur
1280,65,106998.6,9,Female,No,Pokhara
1281,33,71934.21,3,Male,No,Lalitpur
1282,20,48467.89,8,Female,No,Kathmandu
1283,37,108078.1,7,Male,No,Lalitpur
1284,41,83472.75,6,Female,Yes,Pokhara
1285,50,44068.85,10,Male,Yes,Pokhara
1286,41,65241.53,5,Female,No,Kathmandu
1287,28,48109.54,5,Female,No,Lalitpur
1288,25,35430.01,5,Male,No,Lalitpur
1289,53,93154.44,5,Female,Yes,Lalitpur
1290,55,117735.42,4,Female,Yes,Pokhara
1291,57,35035.81,10,Male,No,Kathmandu
1292,37,84074.23,3,Female,Yes,Lalitpur
1293,52,53733.94,2,Male,Yes,Pokhara
1294,65,57821.87,6,Female,No,Pokhara
1295,42,55190.15,4,Male,Yes,Pokhara
1296,52,48400.23,4,Female,No,Lalitpur
1297,42,71213.04,8,Female,Yes,Lalitpur
1298,46,49226.25,5,Female,Yes,Lalitpur
1299,35,76761.42,4,Male,Yes,Lalitpur
1300,63,68744.05,7,Male,No,Lalitpur
1301,35,64026.3,4,Male,Yes,Lalitpur
1302,19,47310.91,2,Male,No,Lalitpur
1303,52,55580.72,2,Female,Yes,Lalitpur
1304,33,88884.78,3,Female,No,Lalitpur
1305,58,82522.93,3,Male,Yes,Pokhara
1306,53,45561.12,8,Male,No,Lalitpur
1307,50,72483.31,6,Male,No,Kathmandu
1308,21,88784.68,0,Female,No,Pokhara
1309,50,28264.87,8,Male,Yes,Lalitpur
1310,31,83584.0,5,Male,Yes,Kathmandu
1311,38,53434.41,4,Female,Yes,Lalitpur
1312,65,84264.97,5,Female,No,Kathmandu
1313,37,50918.52,7,Male,No,Kathmandu
1314,25,24877.95,6,Female,No,Kathmandu
1315,24,29311.44,3,Male,Yes,Kathmandu
1316,20,71202.12,4,Female,Yes,Pokhara
1317,34,76493.06,2,Male,Yes,Pokhara
1318,50,47392.08,4,Male,No,Kathmandu
1319,65,85964.81,1,Male,No,Lalitpur
1320,29,28462.0,9,Male,No,Kathmandu
1321,39,68348.01,3,Female,Yes,Pokhara
1322,39,39724.6,1,Female,No,Lalitpur
1323,63,53704.1,5,Female,No,Pokhara
1324,47,71184.97,4,Female,Yes,Pokhara
1325,55,48489.67,6,Male,No,Lalitpur
1326,55,60386.11,5,Male,No,Kathmandu
1327,62,95157.32,8,Female,No,Kathmandu
1328,25,55577.7,5,Female,No,Kathmandu
1329,44,90892.3,7,Female,Yes,Kathmandu
1330,44,41757.33,4,Female,Yes,Lalitpur
1331,51,83245.1,1,Female,No,Lalitpur
1332,38,106039.22,5,Male,Yes,Lalitpur
1333,47,8208.89,4,Male,No,Pokhara
1334,50,50077.62,3,Male,No,Lalitpur
1335,45,84426.8,2,Female,No,Kathmandu
1336,64,64923.87,12,Female,No,Pokhara
1337,50,79278.65,5,Female,Yes,Kathmandu
1338,22,54900.37,10,Female,Yes,Kathmandu
1339,65,72164.74,6,Male,Yes,Lalitpur
1340,36,66108.07,1,Male,No,Lalitpur
1341,21,99194.55,6,Female,Yes,Kathmandu
1342,52,76360.52,2,Male,Yes,Kathmandu
1343,34,78440.07,4,Male,No,Pokhara
1344,61,59703.08,5,Female,No,Lalitpur
1345,45,57809.84,8,Female,Yes,Pokhara
1346,47,59186.05,4,Female,Yes,Pokhara
1347,46,79861.3,2,Female,No,Pokhara
1348,63,59475.39,1,Female,Yes,Kathmandu
1349,23,77244.37,8,Female,Yes,Pokhara
1350,52,121885.02,8,Male,Yes,Pokhara
1351,58,91778.12,4,Male,No,Kathmandu
1352,54,61849.41,1,Female,Yes,Lalitpur
1353,41,100030.35,9,Male,No,Lalitpur
1354,46,59798.12,4,Female,No,Pokhara
1355,63,19046.89,2,Female,No,Kathmandu
1356,48,44797.84,4,Female,Yes,Lalitpur
1357,52,23230.2,3,Female,No,Pokhara
1358,50,61212.16,8,Male,No,Pokhara
1359,38,70460.46,9,Female,No,Kathmandu
1360,49,111910.93,4,Male,No,Pokhara
1361,40,78173.18,4,Female,No,Lalitpur
1362,50,64522.49,5,Female,No,Kathmandu
1363,20,90735.14,11,Female,No,Lalitpur
1364,35,14721.62,8,Male,No,Lalitpur
1365,42,75890.36,6,Female,Yes,Lalitpur
1366,59,89271.63,2,Female,Yes,Pokhara
1367,48,33035.34,8,Female,Yes,Pokhara
1368,20,98593.85,7,Male,No,Lalitpur
1369,57,78462.41,6,Male,No,Lalitpur
1370,63,59617.8,5,Male,No,Kathmandu
1371,41,85819.55,3,Female,No,Kathmandu
1372,49,126767.32,5,Male,No,Pokhara
1373,64,74546.66,3,Female,No,Pokhara
1374,39,76205.51,3,Male,Yes,Kathmandu
1375,40,58515.98,7,Male,No,Lalitpur
1376,19,48753.89,4,Female,Yes,Pokhara
1377,44,90758.4,4,Male,Yes,Lalitpur
1378,59,48597.9,6,Female,Yes,Kathmandu
1379,19,71789.16,6,Female,Yes,Pokhara
1380,43,58058.56,3,Male,No,Pokhara
1381,34,81974.5,4,Female,No,Kathmandu
1382,57,78341.55,6,Female,Yes,Pokhara
1383,50,95938.5,6,Male,No,Kathmandu
1384,26,57249.59,6,Male,No,Pokhara
1385,60,63253.13,6,Female,Yes,Kathmandu
1386,65,45530.91,3,Male,No,Pokhara
1387,56,58892.67,5,Female,Yes,Lalitpur
1388,46,79432.51,2,Female,No,Lalitpur
1389,59,88924.72,5,Male,No,Lalitpur
1390,43,46945.87,3,Male,Yes,Pokhara
1391,52,91740.15,3,Male,Yes,Pokhara
1392,42,103890.95,5,Male,No,Lalitpur
1393,41,80335.87,11,Female,No,Lalitpur
1394,30,116919.9,7,Female,Yes,Kathmandu
1395,24,50655.27,7,Male,No,Kathmandu
1396,53,38883.63,4,Male,No,Kathmandu
1397,62,25531.99,1,Female,No,Lalitpur
1398,37,107401.11,4,Female,No,Lalitpur
1399,18,86359.14,5,Female,No,Lalitpur
1400,25,68610.38,4,Female,No,Kathmandu
