ID,Age,Salary,Purchase_Count,Gender,City,Subscribed
1070,61.0,86553.27,2,Female,Kathmandu,Yes
1071,51.0,109650.42,7,Male,Kathmandu,Yes
1072,27.0,39054.61,5,Female,Kathmandu,No
1073,53.0,123325.83,5,Male,Pokhara,Yes
1074,31.0,21197.81,6,Male,Lalitpur,Yes
1075,48.0,66205.37,1,Male,Kathmandu,Yes
1076,65.0,84707.93,10,Male,Kathmandu,Yes
1077,32.0,77024.8,2,Female,Kathmandu,No
1078,25.0,54432.51,5,Male,Lalitpur,No
1079,31.0,64796.94,4,Female,Lalitpur,No
1080,40.0,57674.98,5,Male,Lalitpur,No
1081,57.0,55265.88,4,Female,Pokhara,No
1082,38.0,91240.05,5,Female,Pokhara,No
1083,33.0,78925.39,6,Female,Kathmandu,Yes
1084,62.0,52677.26,1,Female,Lalitpur,No
1085,35.0,92490.0,3,Female,Kathmandu,No
1086,64.0,77682.49,2,Female,Lalitpur,Yes
1087,41.0,90321.55,5,Male,Lalitpur,Yes
1088,43.0,85740.72,4,Female,Lalitpur,Yes
1089,42.0,49275.12,7,Male,Pokhara,Yes
1090,62.0,55995.47,7,Female,Pokhara,Yes
1091,58.0,88682.34,2,Male,Lalitpur,Yes
1092,46.0,85259.26,6,Female,Kathmandu,Yes
1093,32.0,69477.46,7,Female,Lalitpur,Yes
1094,62.0,72933.18,2,Male,Lalitpur,Yes
1095,18.0,101941.62,7,Female,Kathmandu,Yes
1096,42.0,55210.72,5,Female,Lalitpur,No
1097,24.0,83677.43,7,Female,Kathmandu,Yes
1098,26.0,64945.18,6,Male,Pokhara,Yes
1099,41.0,64557.97,5,Female,Pokhara,No
1100,18.0,97469.42,6,Male,Kathmandu,Yes
1101,61.0,90635.41,5,Female,Pokhara,Yes
1102,25.0,90337.74,4,Female,Pokhara,No
1103,41.0,102636.97,7,Male,Kathmandu,Yes
1104,28.0,70525.1,1,Female,Pokhara,No
1105,34.0,87048.82,8,Female,Lalitpur,Yes
1106,25.0,62243.33,4,Male,Lalitpur,No
1107,52.0,78104.16,5,Female,Kathmandu,Yes
1108,52.0,66746.42,3,Male,Pokhara,Yes
1109,50.0,72424.9,7,Male,Lalitpur,Yes
1110,22.0,84878.93,2,Male,Lalitpur,No
1111,59.0,49544.48,5,Female,Pokhara,No
1112,56.0,122309.68,10,Male,Pokhara,Yes
1113,58.0,44849.57,7,Male,Lalitpur,Yes
1114,45.0,39645.28,7,Female,Lalitpur,Yes
1115,24.0,98952.77,10,Male,Kathmandu,Yes
1116,26.0,89791.57,1,Female,Kathmandu,No
1117,25.0,85603.0,5,Female,Lalitpur,No
1118,29.0,85708.64,3,Female,Kathmandu,No
1119,51.0,69693.83,8,Female,Lalitpur,Yes
1120,50.0,47568.64,7,Male,Lalitpur,Yes
1121,65.0,71895.11,3,Male,Kathmandu,Yes
1122,40.0,53070.96,1,Male,Kathmandu,No
1123,41.0,94377.99,5,Male,Pokhara,Yes
1124,54.0,66323.57,3,Male,Pokhara,Yes
1125,52.0,49362.57,6,Female,Pokhara,Yes
1126,61.0,61965.35,3,Male,Lalitpur,No
1127,57.0,80323.29,4,Male,Kathmandu,Yes
1128,39.0,55906.89,5,Male,Lalitpur,No
1129,44.0,49444.49,8,Female,Kathmandu,Yes
1130,52.0,76092.18,7,Female,Lalitpur,Yes
1131,18.0,76124.16,5,Male,Pokhara,No
1132,52.0,57326.42,4,Female,Pokhara,No
1133,54.0,58224.04,6,Male,Pokhara,Yes
1134,64.0,75801.25,8,Male,Lalitpur,Yes
1135,31.0,33797.89,4,Female,Kathmandu,No
1136,20.0,34813.41,3,Female,Kathmandu,No
1137,18.0,52038.89,2,Male,Pokhara,No
1138,22.0,64663.82,3,Male,Pokhara,No
1139,43.0,77772.69,9,Female,Pokhara,Yes
1140,31.0,106883.91,5,Male,Pokhara,No
1141,56.0,91441.49,4,Female,Kathmandu,Yes
1142,44.0,66001.54,7,Male,Lalitpur,Yes
1143,26.0,69524.59,8,Female,Lalitpur,Yes
1144,32.0,44936.77,4,Male,Lalitpur,No
1145,32.0,69537.17,4,Male,Lalitpur,No
1146,43.0,62783.53,8,Female,Pokhara,Yes
1147,59.0,78067.96,5,Male,Pokhara,Yes
1148,30.0,49319.23,5,Male,Pokhara,No
1149,49.0,82983.66,6,Female,Lalitpur,Yes
1150,56.0,108318.47,7,Male,Pokhara,Yes
1151,49.0,67281.0,2,Male,Pokhara,Yes
1152,21.0,80042.79,1,Male,Kathmandu,No
1153,,87253.6,7,Female,Kathmandu,Yes
1154,54.0,59969.49,5,Female,Pokhara,No
1155,40.0,75602.31,4,Female,Kathmandu,No
1156,56.0,70314.81,4,Male,Kathmandu,Yes
1157,62.0,72441.9,3,Male,Pokhara,Yes
1158,32.0,50674.76,8,Male,Pokhara,Yes
1159,60.0,70612.75,7,Male,Pokhara,Yes
1160,46.0,82449.96,1,Female,Pokhara,Yes
1161,53.0,106278.59,2,Male,Lalitpur,Yes
1162,30.0,93981.77,4,Male,Lalitpur,No
1163,49.0,123829.56,6,Male,Pokhara,Yes
1164,24.0,50816.31,4,Female,Kathmandu,No
1165,39.0,91808.02,6,Male,Pokhara,Yes
1166,45.0,74583.55,8,Male,Pokhara,Yes
1167,19.0,124745.07,7,Male,Kathmandu,Yes
1168,59.0,49792.54,5,Male,Lalitpur,No
1169,62.0,49006.95,2,Male,Pokhara,No
1170,23.0,55015.18,1,Female,Pokhara,No
1171,45.0,16902.61,7,Male,Lalitpur,Yes
1172,45.0,56856.12,4,Male,Lalitpur,No
1173,61.0,51021.68,1,Male,Kathmandu,No
1174,61.0,73759.84,6,Male,Lalitpur,Yes
1175,37.0,78543.9,5,Male,Lalitpur,No
1176,47.0,116904.27,8,Male,Lalitpur,Yes
1177,28.0,93760.6,5,Male,Kathmandu,No
1178,45.0,55577.41,4,Male,Lalitpur,No
1179,42.0,47539.63,10,Male,Lalitpur,Yes
1180,56.0,82297.98,7,Male,Kathmandu,Yes
1181,50.0,36994.17,4,Female,Lalitpur,No
1182,18.0,115786.47,8,Female,Lalitpur,Yes
1183,44.0,99486.0,5,Female,Kathmandu,Yes
1184,30.0,58270.61,5,Female,Pokhara,No
1185,,27171.64,5,Male,Kathmandu,No
1186,20.0,103846.81,2,Female,Lalitpur,No
1187,56.0,67136.5,3,Female,Lalitpur,Yes
1188,23.0,100945.41,4,Male,Lalitpur,No
1189,25.0,30139.31,9,Female,Kathmandu,Yes
1190,44.0,55015.62,0,Female,Lalitpur,No
1191,26.0,70131.09,5,Male,Lalitpur,No
1192,54.0,71174.51,5,Male,Kathmandu,Yes
1193,50.0,58748.36,5,Male,Pokhara,No
1194,59.0,85571.25,5,Female,Pokhara,Yes
1195,61.0,43309.49,4,Female,Lalitpur,No
1196,41.0,66440.51,9,Male,Kathmandu,Yes
1197,32.0,73007.39,6,Male,Lalitpur,Yes
1198,49.0,82860.97,2,Female,Kathmandu,Yes
1199,49.0,87790.37,6,Male,Kathmandu,Yes
1200,41.0,41883.95,6,Female,Pokhara,Yes
1201,58.0,31647.15,6,Male,Pokhara,Yes
1202,29.0,101941.92,5,Male,Kathmandu,No
1203,56.0,78307.85,2,Female,Lalitpur,Yes
1204,19.0,51287.84,5,Male,Pokhara,No
1205,20.0,108778.8,3,Male,Lalitpur,No
1206,54.0,72891.87,3,Male,Pokhara,Yes
1207,34.0,99482.43,3,Female,Pokhara,No
1208,19.0,71687.96,6,Male,Lalitpur,Yes
1209,19.0,121518.7,6,Male,Pokhara,Yes
1210,45.0,113883.52,4,Male,Pokhara,Yes
1211,40.0,63775.9,5,Male,Lalitpur,No
1212,54.0,94289.27,5,Male,Pokhara,Yes
1213,49.0,86134.4,7,Male,Pokhara,Yes
1214,50.0,104215.79,5,Female,Pokhara,Yes
1215,18.0,45876.91,3,Female,Lalitpur,No
1216,36.0,87151.29,4,Male,Kathmandu,No
1217,19.0,96460.61,7,Female,Lalitpur,Yes
1218,61.0,26031.51,5,Female,Kathmandu,No
1219,,40418.54,7,Male,Pokhara,Yes
1220,49.0,19019.2,8,Female,Kathmandu,Yes
1221,23.0,63264.83,7,Female,Lalitpur,Yes
1222,49.0,87938.56,5,Female,Lalitpur,Yes
1223,21.0,107558.93,8,Female,Pokhara,Yes
1224,28.0,71852.37,4,Female,Kathmandu,No
1225,,110715.39,6,Female,Pokhara,Yes
1226,,35497.46,8,Female,Pokhara,Yes
1227,41.0,27415.44,6,Female,Lalitpur,Yes
1228,22.0,68611.31,3,Male,Kathmandu,No
1229,51.0,79601.64,8,Male,Kathmandu,Yes
1230,23.0,69182.63,4,Female,Kathmandu,No
1231,39.0,18313.95,7,Female,Kathmandu,Yes
1232,28.0,67772.0,2,Male,Pokhara,No
1233,65.0,37388.26,10,Female,Pokhara,Yes
1234,33.0,86741.81,6,Female,Lalitpur,Yes
1235,50.0,79164.96,4,Male,Pokhara,Yes
1236,26.0,46503.01,5,Male,Pokhara,No
1237,23.0,57153.33,6,Male,Lalitpur,Yes
1238,33.0,43519.66,4,Female,Lalitpur,No
1239,46.0,68433.02,5,Female,Lalitpur,Yes
1240,20.0,93878.56,6,Male,Pokhara,Yes
1241,37.0,45356.85,3,Male,Pokhara,No
1242,53.0,82601.16,7,Female,Lalitpur,Yes
1243,36.0,56743.56,7,Male,Lalitpur,Yes
1244,43.0,50178.18,8,Female,Lalitpur,Yes
1245,20.0,67324.24,4,Female,Pokhara,No
1246,36.0,44118.94,7,Male,Pokhara,Yes
1247,37.0,56158.77,3,Male,Kathmandu,No
1248,49.0,40053.05,4,Female,Pokhara,No
1249,24.0,119118.13,4,Male,Pokhara,No
1250,58.0,70881.59,0,Male,Pokhara,Yes
1251,50.0,52506.86,1,Male,Lalitpur,No
1252,57.0,75349.5,1,Male,Pokhara,Yes
1253,56.0,67191.8,7,Female,Lalitpur,Yes
1254,35.0,64475.76,5,Female,Kathmandu,No
1255,57.0,85354.17,5,Female,Kathmandu,Yes
1256,18.0,88937.69,8,Female,Lalitpur,Yes
1257,28.0,56737.47,3,Male,Lalitpur,No
1258,45.0,55604.54,5,Male,Lalitpur,No
1259,42.0,63123.71,3,Female,Pokhara,No
1260,40.0,12451.97,5,Female,Kathmandu,No
1261,48.0,32120.22,1,Male,Lalitpur,No
1262,47.0,104171.86,7,Female,Pokhara,Yes
1263,59.0,111124.19,2,Female,Kathmandu,Yes
1264,52.0,63774.1,4,Male,Pokhara,No
1265,24.0,84413.92,6,Female,Kathmandu,Yes
1266,33.0,77781.25,7,Male,Pokhara,Yes
1267,43.0,146972.02,9,Male,Kathmandu,Yes
1268,65.0,97989.37,4,Female,Kathmandu,Yes
1269,19.0,66802.06,1,Male,Pokhara,No
1270,18.0,46111.49,4,Female,Lalitpur,No
1271,65.0,29838.84,6,Male,Kathmandu,Yes
1272,29.0,75086.59,3,Female,Lalitpur,No
1273,22.0,51091.23,4,Female,Pokhara,No
1274,54.0,34443.66,2,Female,Lalitpur,No
1275,49.0,53835.68,6,Male,Lalitpur,Yes
1276,26.0,42961.3,8,Male,Lalitpur,Yes
1277,58.0,112178.54,7,Female,Lalitpur,Yes
1278,52.0,92040.99,2,Male,Lalitpur,Yes
1279,36.0,69800.68,6,Female,Kathmandu,Yes
1280,65.0,106998.6,9,Female,Kathmandu,Yes
1281,33.0,71934.21,3,Male,Kathmandu,No
1282,20.0,48467.89,8,Female,Pokhara,Yes
1283,37.0,108078.1,7,Male,Lalitpur,Yes
1284,41.0,83472.75,6,Female,Kathmandu,Yes
1285,50.0,44068.85,10,Male,Pokhara,Yes
1286,41.0,65241.53,5,Female,Kathmandu,Yes
1287,28.0,48109.54,5,Female,Kathmandu,No
1288,25.0,35430.01,5,Male,Lalitpur,No
1289,53.0,93154.44,5,Female,Pokhara,Yes
1290,55.0,117735.42,4,Female,Lalitpur,Yes
1291,57.0,35035.81,10,Male,Lalitpur,Yes
1292,37.0,84074.23,3,Female,Kathmandu,No
1293,52.0,53733.94,2,Male,Lalitpur,No
1294,65.0,57821.87,6,Female,Pokhara,Yes
1295,42.0,55190.15,4,Male,Lalitpur,No
1296,52.0,48400.23,4,Female,Lalitpur,No
1297,42.0,71213.04,8,Female,Lalitpur,Yes
1298,46.0,49226.25,5,Female,Kathmandu,No
1299,35.0,76761.42,4,Male,Pokhara,No
1300,63.0,68744.05,7,Male,Kathmandu,Yes
1301,35.0,64026.3,4,Male,Kathmandu,No
1302,19.0,47310.91,2,Male,Kathmandu,No
1303,52.0,55580.72,2,Female,Kathmandu,No
1304,33.0,88884.78,3,Female,Kathmandu,No
1305,58.0,82522.93,3,Male,Pokhara,Yes
1306,53.0,45561.12,8,Male,Lalitpur,Yes
1307,50.0,72483.31,6,Male,Kathmandu,Yes
1308,21.0,88784.68,0,Female,Kathmandu,No
1309,50.0,28264.87,8,Male,Pokhara,Yes
1310,31.0,83584.0,5,Male,Pokhara,No
1311,38.0,53434.41,4,Female,Lalitpur,No
1312,65.0,84264.97,5,Female,Pokhara,Yes
1313,37.0,50918.52,7,Male,Lalitpur,Yes
1314,25.0,24877.95,6,Female,Kathmandu,Yes
1315,24.0,29311.44,3,Male,Kathmandu,No
1316,20.0,71202.12,4,Female,Lalitpur,No
1317,34.0,76493.06,2,Male,Pokhara,No
1318,,47392.08,4,Male,Lalitpur,No
1319,65.0,85964.81,1,Male,Pokhara,Yes
1320,29.0,28462.0,9,Male,Kathmandu,Yes
1321,39.0,68348.01,3,Female,Pokhara,No
1322,39.0,39724.6,1,Female,Lalitpur,No
1323,63.0,53704.1,5,Female,Lalitpur,No
1324,47.0,71184.97,4,Female,Kathmandu,Yes
1325,55.0,48489.67,6,Male,Pokhara,Yes
1326,55.0,60386.11,5,Male,Pokhara,No
1327,62.0,95157.32,8,Female,Pokhara,Yes
1328,25.0,55577.7,5,Female,Kathmandu,No
1329,44.0,90892.3,7,Female,Pokhara,Yes
1330,44.0,41757.33,4,Female,Lalitpur,No
1331,51.0,83245.1,1,Female,Pokhara,Yes
1332,38.0,106039.22,5,Male,Kathmandu,No
1333,47.0,8208.89,4,Male,Pokhara,No
1334,50.0,50077.62,3,Male,Pokhara,No
1335,45.0,84426.8,2,Female,Lalitpur,Yes
1336,64.0,64923.87,12,Female,Pokhara,Yes
1337,50.0,79278.65,5,Female,Lalitpur,Yes
1338,22.0,54900.37,10,Female,Lalitpur,Yes
1339,65.0,72164.74,6,Male,Kathmandu,Yes
1340,36.0,66108.07,1,Male,Lalitpur,No
1341,21.0,99194.55,6,Female,Lalitpur,Yes
1342,52.0,76360.52,2,Male,Kathmandu,Yes
1343,34.0,78440.07,4,Male,Lalitpur,No
1344,61.0,59703.08,5,Female,Kathmandu,No
1345,45.0,57809.84,8,Female,Pokhara,Yes
1346,47.0,59186.05,4,Female,Kathmandu,No
1347,46.0,79861.3,2,Female,Lalitpur,Yes
1348,63.0,59475.39,1,Female,Kathmandu,No
1349,23.0,77244.37,8,Female,Lalitpur,Yes
1350,52.0,121885.02,8,Male,Pokhara,Yes
1351,58.0,91778.12,4,Male,Kathmandu,Yes
1352,54.0,61849.41,1,Female,Pokhara,No
1353,41.0,100030.35,9,Male,Lalitpur,Yes
1354,46.0,59798.12,4,Female,Lalitpur,No
1355,63.0,19046.89,2,Female,Pokhara,No
1356,48.0,44797.84,4,Female,Kathmandu,No
1357,52.0,23230.2,3,Female,Kathmandu,No
1358,,61212.16,8,Male,Lalitpur,Yes
1359,38.0,70460.46,9,Female,Pokhara,Yes
1360,49.0,111910.93,4,Male,Pokhara,Yes
1361,,78173.18,4,Female,Kathmandu,No
1362,50.0,64522.49,5,Female,Kathmandu,No
1363,20.0,90735.14,11,Female,Kathmandu,Yes
1364,35.0,14721.62,8,Male,Pokhara,Yes
1365,42.0,75890.36,6,Female,Kathmandu,Yes
1366,59.0,89271.63,2,Female,Kathmandu,Yes
1367,48.0,33035.34,8,Female,Lalitpur,Yes
1368,20.0,98593.85,7,Male,Kathmandu,Yes
1369,57.0,78462.41,6,Male,Kathmandu,Yes
1370,63.0,59617.8,5,Male,Pokhara,No
1371,41.0,85819.55,3,Female,Pokhara,Yes
1372,49.0,126767.32,5,Male,Lalitpur,Yes
1373,64.0,74546.66,3,Female,Kathmandu,Yes
1374,39.0,76205.51,3,Male,Lalitpur,No
1375,40.0,58515.98,7,Male,Pokhara,Yes
1376,19.0,48753.89,4,Female,Lalitpur,No
1377,44.0,90758.4,4,Male,Pokhara,Yes
1378,59.0,48597.9,6,Female,Lalitpur,Yes
1379,19.0,71789.16,6,Female,Lalitpur,Yes
1380,43.0,58058.56,3,Male,Kathmandu,No
1381,34.0,81974.5,4,Female,Lalitpur,No
1382,57.0,78341.55,6,Female,Kathmandu,Yes
1383,50.0,95938.5,6,Male,Kathmandu,Yes
1384,26.0,57249.59,6,Male,Kathmandu,Yes
1385,60.0,63253.13,6,Female,Kathmandu,Yes
1386,65.0,45530.91,3,Male,Lalitpur,No
1387,56.0,58892.67,5,Female,Pokhara,No
1388,46.0,79432.51,2,Female,Pokhara,Yes
1389,59.0,88924.72,5,Male,Pokhara,Yes
1390,43.0,46945.87,3,Male,Lalitpur,No
1391,52.0,91740.15,3,Male,Kathmandu,Yes
1392,42.0,103890.95,5,Male,Pokhara,Yes
1393,41.0,80335.87,11,Female,Lalitpur,Yes
1394,30.0,116919.9,7,Female,Kathmandu,Yes
1395,,50655.27,7,Male,Pokhara,Yes
1396,53.0,38883.63,4,Male,Kathmandu,No
1397,62.0,25531.99,1,Female,Pokhara,No
1398,37.0,107401.11,4,Female,Pokhara,No
1399,18.0,86359.14,5,Female,Pokhara,No
1400,25.0,68610.38,4,Female,Kathmandu,No
1001,56.0,93850.04,4,Female,Kathmandu,Yes
1002,46.0,86284.78,9,Male,Kathmandu,Yes
1003,32.0,62118.27,7,Male,Kathmandu,Yes
1004,60.0,88974.23,5,Female,Kathmandu,Yes
1005,25.0,50679.37,2,Male,Lalitpur,No
