Product,City,Country,Season,Date,Quantity,Price
Phone,London,UK,Q4,2023-09-13,1,684
Laptop,Leeds,UK,Q3,2023-09-14,17,1980
TV,Birmingham,UK,Q1,2023-09-15,3,1282
Phone,Birmingham,UK,Q1,2023-09-16,13,1036
TV,Leeds,UK,Q2,2023-09-17,14,1384
TV,London,UK,Q4,2023-09-18,18,1208
Laptop,Manchester,UK,Q2,2023-09-19,4,890
Phone,Birmingham,UK,Q3,2023-09-20,18,1429
Phone,London,UK,Q1,2023-09-21,5,1235
Laptop,London,UK,Q1,2023-09-22,16,689
Laptop,Manchester,UK,Q1,2023-09-23,1,475
Phone,Birmingham,UK,Q3,2023-09-24,14,892
Phone,Birmingham,UK,Q3,2023-09-25,15,441
Laptop,London,UK,Q2,2023-09-26,9,1439
TV,London,UK,Q2,2023-09-27,15,1474
TV,Manchester,UK,Q2,2023-09-28,17,325
Laptop,Manchester,UK,Q4,2023-09-29,4,416
TV,Birmingham,UK,Q1,2023-09-30,12,1529
Laptop,Leeds,UK,Q1,2023-10-01,5,1408
TV,Birmingham,UK,Q2,2023-10-02,5,1262
TV,London,UK,Q1,2023-10-03,11,1446
Phone,Birmingham,UK,Q2,2023-10-04,6,1407
Phone,Leeds,UK,Q4,2023-10-05,7,694
TV,Manchester,UK,Q4,2023-10-06,14,626
TV,Leeds,UK,Q3,2023-10-07,11,1401
Phone,Leeds,UK,Q4,2023-10-08,13,1118
Phone,Leeds,UK,Q2,2023-10-09,2,1651
Phone,Manchester,UK,Q4,2023-10-10,7,1517
Laptop,Leeds,UK,Q3,2023-10-11,4,350
TV,Leeds,UK,Q1,2023-10-12,8,583
Phone,Leeds,UK,Q2,2023-10-13,19,1861
TV,London,UK,Q1,2023-10-14,13,507
Laptop,Leeds,UK,Q3,2023-10-15,14,1559
Laptop,Manchester,UK,Q3,2023-10-16,10,945
Phone,Leeds,UK,Q3,2023-10-17,11,1091
Laptop,Leeds,UK,Q1,2023-10-18,2,574
TV,Manchester,UK,Q1,2023-10-19,9,1231
Phone,Leeds,UK,Q1,2023-10-20,17,1564
TV,Manchester,UK,Q1,2023-10-21,3,328
TV,Leeds,UK,Q3,2023-10-22,6,1214
Laptop,Manchester,UK,Q3,2023-10-23,5,1999
Laptop,Leeds,UK,Q2,2023-10-24,5,868
Laptop,Leeds,UK,Q2,2023-10-25,15,1575
Laptop,London,UK,Q1,2023-10-26,17,1581
Laptop,London,UK,Q4,2023-10-27,9,716
Phone,Leeds,UK,Q4,2023-10-28,3,1718
TV,Leeds,UK,Q3,2023-10-29,17,285
TV,Birmingham,UK,Q3,2023-10-30,10,1398
TV,Manchester,UK,Q3,2023-10-31,3,1416
TV,Birmingham,UK,Q2,2023-11-01,18,510
Laptop,London,UK,Q2,2023-11-02,18,1342
TV,London,UK,Q3,2023-11-03,17,1441
Phone,London,UK,Q3,2023-11-04,3,626
Phone,London,UK,Q3,2023-11-05,3,1637
TV,Leeds,UK,Q4,2023-11-06,6,313
TV,London,UK,Q2,2023-11-07,13,1368
Phone,Leeds,UK,Q4,2023-11-08,15,1761
Phone,Leeds,UK,Q4,2023-11-09,9,1871
Laptop,London,UK,Q3,2023-11-10,4,502
Phone,London,UK,Q3,2023-11-11,14,943
Laptop,Manchester,UK,Q1,2023-11-12,5,787
Laptop,Birmingham,UK,Q1,2023-11-13,2,1186
Laptop,London,UK,Q4,2023-11-14,11,544
Laptop,Manchester,UK,Q2,2023-11-15,9,1013
Laptop,Manchester,UK,Q3,2023-11-16,3,1000
TV,Birmingham,UK,Q3,2023-11-17,9,1224
Phone,Leeds,UK,Q4,2023-11-18,3,1370
Laptop,London,UK,Q1,2023-11-19,2,1510
Phone,Birmingham,UK,Q2,2023-11-20,12,1877
Phone,London,UK,Q1,2023-11-21,10,1276
Laptop,Manchester,UK,Q1,2023-11-22,9,1527
TV,Manchester,UK,Q1,2023-11-23,15,1292
Laptop,Leeds,UK,Q1,2023-11-24,8,560
TV,Manchester,UK,Q3,2023-11-25,5,1825
Phone,Manchester,UK,Q3,2023-11-26,11,1443
TV,Birmingham,UK,Q1,2023-11-27,2,1209
TV,London,UK,Q2,2023-11-28,15,903
TV,London,UK,Q4,2023-11-29,6,774
Phone,Birmingham,UK,Q2,2023-11-30,8,1808
Phone,Leeds,UK,Q2,2023-12-01,5,1384
TV,London,UK,Q2,2023-12-02,16,1904
TV,Manchester,UK,Q1,2023-12-03,18,1312
Laptop,London,UK,Q3,2023-12-04,6,887
TV,Manchester,UK,Q2,2023-12-05,5,980
Laptop,Leeds,UK,Q1,2023-12-06,16,784
TV,Birmingham,UK,Q2,2023-12-07,13,1980
Laptop,London,UK,Q2,2023-12-08,5,788
Phone,Birmingham,UK,Q1,2023-12-09,13,1382
TV,London,UK,Q3,2023-12-10,17,688
TV,Manchester,UK,Q3,2023-12-11,18,1170
TV,Birmingham,UK,Q4,2023-12-12,8,1547
TV,London,UK,Q1,2023-12-13,13,1833
Laptop,Manchester,UK,Q4,2023-12-14,19,1604
TV,Birmingham,UK,Q4,2023-12-15,3,1325
Phone,Birmingham,UK,Q4,2023-12-16,8,693
Phone,London,UK,Q3,2023-12-17,2,1867
TV,London,UK,Q1,2023-12-18,8,1837
Phone,London,UK,Q4,2023-12-19,13,218
TV,Manchester,UK,Q1,2023-12-20,13,1677
TV,London,UK,Q1,2023-12-21,1,1705
Phone,Birmingham,UK,Q3,2023-12-22,6,1817
TV,Birmingham,UK,Q4,2023-12-23,19,596
Phone,London,UK,Q4,2023-12-24,16,1200
Laptop,London,UK,Q1,2023-12-25,8,1502
TV,Leeds,UK,Q2,2023-12-26,1,1050
Laptop,Birmingham,UK,Q3,2023-12-27,16,1588
Phone,Manchester,UK,Q3,2023-12-28,9,1554
Laptop,Leeds,UK,Q3,2023-12-29,13,1864
Laptop,London,UK,Q3,2023-12-30,11,1567
Phone,London,UK,Q4,2023-12-31,13,1021
Laptop,Birmingham,UK,Q4,2024-01-01,10,654
Laptop,London,UK,Q2,2024-01-02,4,1824
Phone,Manchester,UK,Q3,2024-01-03,6,924
Laptop,Birmingham,UK,Q3,2024-01-04,7,1878
Phone,London,UK,Q1,2024-01-05,5,1288
Laptop,Birmingham,UK,Q4,2024-01-06,11,1299
Phone,London,UK,Q3,2024-01-07,13,910
Phone,London,UK,Q2,2024-01-08,19,342
Laptop,London,UK,Q2,2024-01-09,10,1116
Laptop,Manchester,UK,Q4,2024-01-10,10,1027
Laptop,Manchester,UK,Q2,2024-01-11,11,804
TV,Birmingham,UK,Q2,2024-01-12,7,1696
TV,London,UK,Q4,2024-01-13,18,1640
TV,London,UK,Q3,2024-01-14,4,504
Phone,Manchester,UK,Q3,2024-01-15,2,935
Laptop,London,UK,Q2,2024-01-16,14,1720
Phone,Manchester,UK,Q2,2024-01-17,13,490
TV,London,UK,Q3,2024-01-18,12,301
Laptop,Birmingham,UK,Q4,2024-01-19,7,1490
Phone,London,UK,Q2,2024-01-20,2,1066
Laptop,London,UK,Q1,2024-01-21,13,1167
Phone,Leeds,UK,Q4,2024-01-22,14,1845
Laptop,Manchester,UK,Q2,2024-01-23,17,1173
TV,London,UK,Q2,2024-01-24,9,1041
TV,London,UK,Q1,2024-01-25,17,1161
Laptop,Leeds,UK,Q1,2024-01-26,8,1141
Phone,Leeds,UK,Q3,2024-01-27,2,1226
TV,Manchester,UK,Q4,2024-01-28,13,284
TV,Leeds,UK,Q4,2024-01-29,3,527
TV,Birmingham,UK,Q3,2024-01-30,16,1015
Laptop,Leeds,UK,Q4,2024-01-31,6,1673
Laptop,Birmingham,UK,Q4,2024-02-01,19,653
Phone,Manchester,UK,Q4,2024-02-02,7,828
Phone,Manchester,UK,Q4,2024-02-03,10,1444
Phone,Manchester,UK,Q4,2024-02-04,9,1377
Laptop,Manchester,UK,Q1,2024-02-05,2,864
Laptop,Manchester,UK,Q4,2024-02-06,15,211
Phone,Birmingham,UK,Q1,2024-02-07,5,1356
Phone,Birmingham,UK,Q4,2024-02-08,4,503
Laptop,Manchester,UK,Q3,2024-02-09,4,1516
Phone,Leeds,UK,Q2,2024-02-10,18,1174
TV,London,UK,Q1,2024-02-11,4,1523
Laptop,Manchester,UK,Q4,2024-02-12,17,1963
Phone,Leeds,UK,Q3,2024-02-13,12,982
Laptop,London,UK,Q2,2024-02-14,17,242
TV,Manchester,UK,Q1,2024-02-15,10,1143
Laptop,Manchester,UK,Q2,2024-02-16,1,542
Laptop,Birmingham,UK,Q3,2024-02-17,18,1549
Laptop,London,UK,Q1,2024-02-18,18,697
Laptop,London,UK,Q2,2024-02-19,14,563
TV,Leeds,UK,Q4,2024-02-20,15,1090
Laptop,Birmingham,UK,Q1,2024-02-21,12,626
Laptop,Birmingham,UK,Q2,2024-02-22,4,1204
Phone,Birmingham,UK,Q3,2024-02-23,3,220
Laptop,Birmingham,UK,Q3,2024-02-24,12,606
Phone,London,UK,Q1,2024-02-25,7,818
TV,London,UK,Q2,2024-02-26,11,1214
TV,Manchester,UK,Q1,2024-02-27,1,535
TV,Manchester,UK,Q1,2024-02-28,6,1340
TV,Birmingham,UK,Q2,2024-02-29,15,1347
Phone,Birmingham,UK,Q2,2024-03-01,15,598
Laptop,Birmingham,UK,Q4,2024-03-02,19,992
TV,Manchester,UK,Q2,2024-03-03,11,914
Laptop,Leeds,UK,Q3,2024-03-04,2,250
Phone,Leeds,UK,Q1,2024-03-05,14,523
Phone,Manchester,UK,Q1,2024-03-06,2,988
Phone,Manchester,UK,Q3,2024-03-07,4,340
TV,Manchester,UK,Q2,2024-03-08,17,669
Laptop,Manchester,UK,Q3,2024-03-09,3,986
Laptop,Manchester,UK,Q3,2024-03-10,13,1557
Laptop,Manchester,UK,Q4,2024-03-11,9,1163
Phone,Birmingham,UK,Q3,2024-03-12,7,1207
TV,Birmingham,UK,Q1,2024-03-13,15,572
Phone,Birmingham,UK,Q3,2024-03-14,11,1787
Phone,Birmingham,UK,Q1,2024-03-15,2,693
Laptop,Manchester,UK,Q1,2024-03-16,15,1762
Phone,Leeds,UK,Q1,2024-03-17,14,1892
Laptop,London,UK,Q2,2024-03-18,11,950
TV,Manchester,UK,Q4,2024-03-19,3,1379
Laptop,London,UK,Q1,2024-03-20,17,490
TV,Leeds,UK,Q1,2024-03-21,12,1871
Laptop,Birmingham,UK,Q2,2024-03-22,15,1367
Phone,Leeds,UK,Q1,2024-03-23,16,305
Phone,Manchester,UK,Q3,2024-03-24,5,1643
TV,Birmingham,UK,Q3,2024-03-25,6,869
TV,Manchester,UK,Q4,2024-03-26,19,1881
TV,Birmingham,UK,Q1,2024-03-27,5,201
Laptop,London,UK,Q2,2024-03-28,3,788
Laptop,London,UK,Q3,2024-03-29,1,843
TV,London,UK,Q2,2024-03-30,6,289
Phone,Leeds,UK,Q2,2024-03-31,15,1568
Laptop,Manchester,UK,Q3,2024-04-01,2,549
Laptop,Leeds,UK,Q2,2024-04-02,3,1682
Laptop,London,UK,Q3,2024-04-03,17,1486
TV,Manchester,UK,Q2,2024-04-04,12,1574
TV,London,UK,Q3,2024-04-05,18,1331
TV,Leeds,UK,Q1,2024-04-06,15,1809
TV,Leeds,UK,Q4,2024-04-07,12,1262
TV,Leeds,UK,Q3,2024-04-08,16,1108
Phone,London,UK,Q3,2024-04-09,8,358
Phone,Manchester,UK,Q4,2024-04-10,14,1806
TV,Manchester,UK,Q3,2024-04-11,17,1158
Laptop,London,UK,Q3,2024-04-12,8,511
TV,Manchester,UK,Q2,2024-04-13,15,1464
Phone,London,UK,Q4,2024-04-14,14,644
Phone,Manchester,UK,Q1,2024-04-15,18,497
Laptop,Birmingham,UK,Q3,2024-04-16,7,1151
Phone,Birmingham,UK,Q4,2024-04-17,3,235
TV,Leeds,UK,Q2,2024-04-18,12,1307
Laptop,Birmingham,UK,Q1,2024-04-19,3,1675
TV,Birmingham,UK,Q4,2024-04-20,14,1998
TV,Birmingham,UK,Q1,2024-04-21,15,1608
Laptop,London,UK,Q1,2024-04-22,14,1395
TV,Birmingham,UK,Q1,2024-04-23,7,1599
Phone,Birmingham,UK,Q3,2024-04-24,17,1908
TV,Leeds,UK,Q3,2024-04-25,12,1585
Laptop,Birmingham,UK,Q2,2024-04-26,4,758
Laptop,Birmingham,UK,Q2,2024-04-27,9,1090
Laptop,Manchester,UK,Q4,2024-04-28,6,340
TV,Leeds,UK,Q2,2024-04-29,16,1086
Laptop,Leeds,UK,Q1,2024-04-30,2,1341
Laptop,Leeds,UK,Q1,2024-05-01,8,1500
TV,Leeds,UK,Q3,2024-05-02,11,925
Phone,Leeds,UK,Q1,2024-05-03,13,1443
TV,Leeds,UK,Q4,2024-05-04,17,1249
Laptop,London,UK,Q1,2024-05-05,8,720
Laptop,Birmingham,UK,Q1,2024-05-06,18,209
TV,Leeds,UK,Q4,2024-05-07,18,1183
Phone,Birmingham,UK,Q2,2024-05-08,14,577
Laptop,Birmingham,UK,Q2,2024-05-09,15,1856
Laptop,London,UK,Q4,2024-05-10,6,1860
Laptop,Leeds,UK,Q3,2024-05-11,11,881
TV,Manchester,UK,Q1,2024-05-12,13,783
Laptop,London,UK,Q4,2024-05-13,1,351
Phone,Manchester,UK,Q1,2024-05-14,6,919
